,MMSI,ShipName,IMO,ShipType,Flag
260,314817000,EKMEN SKY           ,9384174,Cargo Ship,Barbados
261,636016118,JOANNA              ,,Unknown,Liberia (Republic of)
262,304768000,CUP                 ,9271327,Tanker,Antigua and Barbuda
263,538006799,STAR EUROPE         ,9753351,Cargo Ship,Marshall Islands (Republic of the)
264,620999377,MEMPHIS             ,9189146,Tanker,Comoros (Union of the)
265,312561000,NS STAR             ,,Unknown,Belize
266,271043255,T.SUNA              ,9652911,Tanker,Republic of Türkiye
267,304792000,CHILLI,9249130,Tanker,Antigua and Barbuda
268,370543000,ARGO I              ,,Unknown,Panama (Republic of)
269,620999285,SURBHI,,Unknown,Comoros (Union of the)
270,314800000,PRINCE ZAIN         ,9276731,Cargo Ship,Barbados
271,305765000,LOUISE BORCHARD,9336294,Cargo Ship,Antigua and Barbuda
272,215418000,JEAN PIERRE A       ,,Unknown,Malta
273,240421700,ALOHA,0,Fishing,Greece
274,240159808,CELINE,0,Fishing,Greece
275,538010670,AYDOGAN,,Unknown,Marshall Islands (Republic of the)
276,376281000,ALMERAY             ,9300910,Cargo Ship,Saint Vincent and the Grenadines
277,247206000,GRANDE EUROPA       ,,Unknown,Italy
278,626263000,ARIADNE             ,,Unknown,Gabonese Republic
279,477070800,CSCL BRISBANE       ,,Unknown,China (People's Republic of) - Hong Kong (Special Administrative Region of China)
280,351381000,SEVEN S             ,9006344,Cargo Ship,Panama (Republic of)
281,636021691,KRITI CAPTAIN       ,9335147,Tanker,Liberia (Republic of)
282,636019612,CS CIHAN            ,,Unknown,Liberia (Republic of)
283,636021389,TRANSEUROPE         ,,Unknown,Liberia (Republic of)
284,245872000,NJORD               ,,Unknown,Netherlands (Kingdom of the)
285,538003755,ARAMON              ,9440485,Tanker,Marshall Islands (Republic of the)
286,240458000,MELTEMI             ,9298741,Tanker,Greece
287,249444000,CELESTINE           ,,Unknown,Malta
288,538004370,FRIEDERIKE          ,,Unknown,Marshall Islands (Republic of the)
289,256565000,SEVERINE            ,,Unknown,Malta
290,636017210,PANTHERA J,,Unknown,Liberia (Republic of)
291,341487000,GELMOND 1,,Unknown,Saint Kitts and Nevis (Federation of)
292,271050376,ULUSOY-16,,Unknown,Republic of Türkiye
293,370261000,GAZIBEY,,Unknown,Panama (Republic of)
294,636020270,LASKARO S           ,9316050,Cargo Ship,Liberia (Republic of)
295,255805664,MSC MARITINA V      ,,Unknown,Portugal - Madeira
296,219030432,XO COPENHAGEN       ,,Unknown,Denmark
297,271043303,PERGAMON SEAWAYS,,Unknown,Republic of Türkiye
298,353416000,HACI HILMI-II,,Unknown,Panama (Republic of)
299,636019710,ADAVEGA,,Unknown,Liberia (Republic of)
300,636016406,FAIR WONDER         ,9327449,Tanker,Liberia (Republic of)
301,255915562,GANADO EXPRESS      ,,Unknown,Portugal - Madeira
302,354854000,GLORIA 1905         ,,Unknown,Panama (Republic of)
303,511100982,FALCON-UA,,Unknown,Palau (Republic of)
304,577586000,ISIK 2              ,,Unknown,Vanuatu (Republic of)
305,215416000,MARGUERITE A        ,,Unknown,Malta
306,241753000,CHRISTINA           ,,Unknown,Greece
307,352672000,GUNDEM AZRA,,Unknown,Panama (Republic of)
308,352001327,GREAT ZHOU          ,,Unknown,Panama (Republic of)
309,305265000,SLOMAN HEBE         ,,Unknown,Antigua and Barbuda
310,215426000,VENTO DI SCIROCCO   ,,Unknown,Malta
311,237041100,PROTUG 18,,Unknown,Greece
312,256660000,nan,,Unknown,Malta
313,249508000,MUMTAZ,,Unknown,Malta
314,205481000,BELLE L'ADRIATIQUE  ,9432799,Passanger Ship,Belgium
315,229978000,SATIE               ,,Unknown,Malta
316,227051000,BELEM               ,8622983,Generic Vessel,France
317,613618200,MARANTA             ,,Unknown,Cameroon (Republic of)
318,636022087,K ONSET             ,,Unknown,Liberia (Republic of)
319,238296000,VINJERAC,,Unknown,Croatia (Republic of)
320,538006248,GOYNUK              ,,Unknown,Marshall Islands (Republic of the)
321,352002382,LUCIA A             ,9228655,Tanker,Panama (Republic of)
322,351165000,LAKE 2              ,,Unknown,Panama (Republic of)
323,636022895,GRACE ADALBERHT     ,9396763,Tanker,Liberia (Republic of)
324,352001685,CMA CGM BLOSSOM     ,,Unknown,Panama (Republic of)
325,353092000,VANGUARD            ,,Unknown,Panama (Republic of)
326,255805908,AUTO ENERGY         ,,Unknown,Portugal - Madeira
327,511101298,C VIKING            ,9261657,Tanker,Palau (Republic of)
328,370429000,ATA                 ,,Unknown,Panama (Republic of)
329,626283000,NARGIS              ,9353125,Tanker,Gabonese Republic
330,538005802,MARLIN AMBER        ,9697210,Tanker,Marshall Islands (Republic of the)
331,477594700,EAST 1              ,,Unknown,China (People's Republic of) - Hong Kong (Special Administrative Region of China)
332,370993000,MSC FRANCESCA       ,,Unknown,Panama (Republic of)
333,636021766,NADINE V            ,,Unknown,Liberia (Republic of)
334,305014000,BULL                ,9292503,Tanker,Antigua and Barbuda
335,256424000,ATHENA              ,,Unknown,Malta
336,240160300,JOLIE,0,Generic Vessel,Greece
337,538007822,MAPLE               ,,Unknown,Marshall Islands (Republic of the)
338,563112000,KILBURN             ,,Unknown,Singapore (Republic of)
339,248400000,MEROVING            ,9453614,Cargo Ship,Malta
340,538006935,ANATOLIAN EAGLE     ,,Unknown,Marshall Islands (Republic of the)
341,271042325,ASALET              ,,Unknown,Republic of Türkiye
342,312861000,ERA                 ,8710998,Cargo Ship,Belize
343,341200000,ELYSIUM             ,,Unknown,Saint Kitts and Nevis (Federation of)
344,511100448,TULEEN ,,Unknown,Palau (Republic of)
345,538010322,VEGA COLIGNY        ,,Unknown,Marshall Islands (Republic of the)
346,271002571,SUMELA SEAWAYS,9356749,Cargo Ship,Republic of Türkiye
348,239299000,GALILEO             ,8986286,Passanger Ship,Greece
349,240421600,ALASKA,0,Generic Vessel,Greece
350,314715000,A LINE,,Unknown,Barbados
351,239623000,PROTUG 42,,Unknown,Greece
352,241604000,MINERVA ZENOBIA     ,9787182,Tanker,Greece
353,352001615,LYUDA               ,8901585,Cargo Ship,Panama (Republic of)
354,268238201,SKY GATE            ,,Unknown,San Marino (Republic of)
355,229490000,EUROCARGO ISTANBUL  ,,Unknown,Malta
